title,company,location,link
[단기계약직] 인공지능 기술 개발을 위한 언어 데이터 구축자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=9ccd0db79695e27e
[단기계약직] 인공지능 기술 개발을 위한 언어 데이터 구축자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=9ccd0db79695e27e
Data Engineer(신입),PUBG,서울,https://kr.indeed.com/viewjob?jk=210243e0776dc26f
Modem QA Contractor,聯發科技,경기도 성남,https://kr.indeed.com/viewjob?jk=bd5ce1a809ec610a
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=4665562997b87ff0
Associate,주식회사 지니얼로지,서울,https://kr.indeed.com/viewjob?jk=115f62e82db4dace
퀀트 개발자 (Quant Developer),ATZ Inc.,서울,https://kr.indeed.com/viewjob?jk=27ea6faf6a8516fd
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=69ab0f58743cb713
[보안]위메프 보안솔루션 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=cdefe6c51536897a
[신규 프로젝트][Project TL] MMORPG 마야 리거 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=08adec321e8a4a3d
[금호타이어] 21년 1월 수시,금호타이어,광주 광산구,https://kr.indeed.com/viewjob?jk=fc76a3924d8601a4
이커머스팀 데이터 분석가(Data Analytics),에프알엘코리아,서울 송파구,https://kr.indeed.com/viewjob?jk=eda8754368c9cf8d
"Python, JAVA 외 신입/경력 정규직, 계약직, 프리랜서 외",블루닷,서울 강남구,https://kr.indeed.com/viewjob?jk=d2603c1cfe3f3d27
Jr. Backend Developer,Delivery Tech Hero,서울,https://kr.indeed.com/viewjob?jk=d6c27e2108eafb61
"Engineering Manager, Server",Sendbird,서울,https://kr.indeed.com/viewjob?jk=8289fe02a353fc85
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
Customer Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=7d4bc2a107c6669b
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
[신성장] 개발 엔지니어 (인턴직),버즈니,서울,https://kr.indeed.com/viewjob?jk=d852018122f62ace
Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=e4f1914b34f03ca2
패시브운용팀,현대인베스트먼트자산운용,대한민국,https://kr.indeed.com/viewjob?jk=0b06eb0f8d5a6a4c
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
보안,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=810816c790317a08
Business Data Analyst(Azar/Hakuna),하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=09771a6f79b71060
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/viewjob?jk=14b591547a3b9df5
AI/빅데이터 (리더급) 국내 대기업,국내 대기업,경기도,https://kr.indeed.com/viewjob?jk=50bdcec0bd5965c1
Data Science 컨설턴트 - 글로벌 컨설팅펌,에스에프인촌,서울 서초구,https://kr.indeed.com/viewjob?jk=8b1288828d145dfb
[클라우드서비스] 네트워크 개발자 영입,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com/viewjob?jk=9248ca355efc13d2
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
하나손해보험 경력직,하나손해보험,서울 종로구,https://kr.indeed.com/viewjob?jk=0c07d097f996104e
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=9a818d9d91db847d
백엔드 파운트 시스템 엔지니어 (현재 급여수준 이상 보장),파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=d6c05c588971df5a
Marketing Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=ac3939eb43b8729c
풀무원녹즙 PDM사업부 온라인쇼핑몰 시스템 기획/개발 경력사원 채용,풀무원,서울특별시,https://kr.indeed.com/viewjob?jk=51fd7b720e1faf58
머신러닝/딥러닝 연구 개발,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=7e5d96b07d5edef0
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=05aa5498d84c58e1
카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d585814d097935eb
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=0064deb5fa9cbce0
자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9
1월 입사 - 근무 : 종각역 - S/W개발 정규직,제스웨어,서울 종로구,https://kr.indeed.com/viewjob?jk=0a8de9d8ee100dc8
[브랜디] 경영본부/사업본부/개발직군 신입 및 경력,브랜디,서울 강남구,https://kr.indeed.com/viewjob?jk=cd5ca556791f1f79
AI 서비스 백엔드 개발자 (신입/경력),플레이스에이,성남 분당구,https://kr.indeed.com/viewjob?jk=84073b0a49c43877
[개발]위메프오 서버개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=7649f20d3341d1d9
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
DATA ENGINEER,Cobblestone Energy,서울,https://kr.indeed.com/viewjob?jk=ed3cb0c04f6d8345
2020년 12월 경력사원 (생산/공정/설비/구매/품질/관리),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/viewjob?jk=e1b4cb461e2a2d8e
경험최적화 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=1b62babbbf2d717a
경험최적화 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=1b62babbbf2d717a
MongoDB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=2695294aea6dc3b6
[XTRM] Data Analyst,PUBG,서울,https://kr.indeed.com/viewjob?jk=80a65fe76f39fe46
알고리즘/투자,쿼터백자산운용,대한민국,https://kr.indeed.com/viewjob?jk=85f599b637702b35
Data Analyst,IQVIA,서울,https://kr.indeed.com/viewjob?jk=2c4c5856662783e7
AI 연구/개발 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=481f953ccaa4bc96
Developers,Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=9a9e91ae6092ed2d
[전문연구요원] AI R&D - Langauge AI,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=bf1fca00c4f999e3
Security Engineer (보안 엔지니어),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=fb6bafb5ae960c4e
TOAST CAM 임베디드 개발,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=1a75ce748c5f24e9
[IT벤처기업] AI팀 디렉터 (과장급),커리어라임즈,서울 중구,https://kr.indeed.com/viewjob?jk=411358f74a5d6414
[보안]위메프 보안 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=52df5f332439e2f7
[R&D부문 경력사원 ],현대오토에버,서울 강남구,https://kr.indeed.com/viewjob?jk=f79c5af6aba0b1d2
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a
Data Scientist,레이니스트,서울,https://kr.indeed.com/viewjob?jk=c4146edac244e5a5
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=bfe0f5ac4f32ec89
"신축년 백엔드,프론트엔드,솔루션개발자",제스웨어,서울 서초구,https://kr.indeed.com/viewjob?jk=25ccd128b7c6102b
"Junior Software Engineer, Server, Messaging",Sendbird,서울,https://kr.indeed.com/viewjob?jk=c9d9689b4870e116
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d
한국통계정보원 SW분야 직원(신입),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/viewjob?jk=faa6429b7c0cff10
DevOps Consultant,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=ff92dd76badee32d
"O2O 플랫폼 백엔드 개발자 (Ruby, Node.JS, Python) 경력직",로보트리,서울 강남구,https://kr.indeed.com/viewjob?jk=f9bb0fa3070eabd1
주간 보안 관제센터 관제 10년 이하,시스템 소프트웨어 개발/ 서비스 IT 서비스 기업,서울 강남구,https://kr.indeed.com/viewjob?jk=fd4a74de56a960ab
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef
챗봇 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=20d40ee61adffeca
Database / Advanced Support Engineer,Oracle,서울,https://kr.indeed.com/viewjob?jk=507ec3b6e848eea0
카카오톡 안티어뷰징을 위한 데이터/백엔드 엔지니어 및 머신러닝 전문가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=9ab2041ab3380a21
H/W 테스트 엔지니어,글로벌 반도체 제조 대기업,인천,https://kr.indeed.com/viewjob?jk=2526f582db59c02d
